chapter,n_verbs,n_dynamouv,share_dynamouv
1,201,6,0.029850746268656716
2,163,1,0.006134969325153374
3,301,6,0.019933554817275746
4,159,4,0.025157232704402517
5,117,2,0.017094017094017096
6,208,11,0.052884615384615384
7,120,1,0.008333333333333333
8,165,7,0.04242424242424243
9,221,13,0.058823529411764705
10,216,7,0.032407407407407406
11,390,13,0.03333333333333333
12,313,12,0.038338658146964855
13,346,10,0.028901734104046242
14,246,8,0.032520325203252036
15,313,16,0.051118210862619806
16,232,8,0.034482758620689655
17,285,10,0.03508771929824561
18,227,6,0.02643171806167401
19,376,12,0.031914893617021274
20,279,11,0.03942652329749104
21,397,16,0.04030226700251889
22,292,10,0.03424657534246575
23,277,5,0.018050541516245487
24,268,10,0.03731343283582089
25,281,10,0.03558718861209965
26,231,8,0.03463203463203463
27,258,6,0.023255813953488372
28,397,19,0.04785894206549118
29,351,17,0.04843304843304843
30,384,18,0.046875
31,270,10,0.037037037037037035
32,158,10,0.06329113924050633
33,407,22,0.05405405405405406
34,168,10,0.05952380952380952
35,263,11,0.04182509505703422
36,159,4,0.025157232704402517
37,133,4,0.03007518796992481
